"","int.name","species","Lake","Month","Year","angler.type","trip.type","length","type","length.cm","length.cat","length.cat2","CPUE","type.2","cat","speciesn"
"849","2740.2010-08-08.913","Bluegill","Merritt","Aug","2010","2","1",200,"release",20,"200",20,0.204081632653061,0,"Q","generic"
"891","2740.2010-08-13.874","Bluegill","Merritt","Aug","2010","2","1",200,"release",20,"200",20,2.97029702970297,0,"Q","generic"
"892","2740.2010-08-13.874","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.97029702970297,0,"Q","generic"
"893","2740.2010-08-13.874","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.97029702970297,0,"S","generic"
"894","2740.2010-08-13.874","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.97029702970297,0,"Q","generic"
"895","2740.2010-08-13.874","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.97029702970297,0,"S","generic"
"896","2740.2010-08-13.874","Bluegill","Merritt","Aug","2010","2","1",200,"release",20,"200",20,2.97029702970297,0,"Q","generic"
"897","2740.2010-08-13.874","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,2.97029702970297,0,"Q","generic"
"898","2740.2010-08-13.874","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,2.97029702970297,0,"Q","generic"
"899","2740.2010-08-13.874","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.97029702970297,0,"Q","generic"
"900","2740.2010-08-13.874","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,2.97029702970297,0,"Q","generic"
"912","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.411764705882353,0,"Q","generic"
"913","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.411764705882353,0,"S","generic"
"914","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,0.411764705882353,0,"S","generic"
"915","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.411764705882353,0,"S","generic"
"916","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",200,"harvest",20,"200",20,0.411764705882353,1,"Q","generic"
"917","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.411764705882353,0,"Q","generic"
"918","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,0.411764705882353,0,"S","generic"
"919","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,0.411764705882353,0,"S","generic"
"920","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.411764705882353,0,"Q","generic"
"921","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.411764705882353,0,"S","generic"
"922","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,0.411764705882353,0,"S","generic"
"923","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.411764705882353,0,"S","generic"
"924","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.411764705882353,0,"Q","generic"
"925","2740.2010-08-13.880","Bluegill","Merritt","Aug","2010","2","1",200,"harvest",20,"200",20,0.411764705882353,1,"Q","generic"
"964","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,5.04201680672269,0,"Q","generic"
"965","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",207,"harvest",21,"230",21,5.04201680672269,1,"Q","generic"
"966","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",180,"harvest",18,"200",18,5.04201680672269,1,"Q","generic"
"967","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,5.04201680672269,0,"Q","generic"
"968","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,5.04201680672269,0,"S","generic"
"969","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,5.04201680672269,0,"S","generic"
"970","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,5.04201680672269,0,"Q","generic"
"971","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,5.04201680672269,0,"Q","generic"
"972","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,5.04201680672269,0,"Q","generic"
"973","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,5.04201680672269,0,"Q","generic"
"974","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,5.04201680672269,0,"S","generic"
"975","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,5.04201680672269,0,"Q","generic"
"976","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,5.04201680672269,0,"S","generic"
"977","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,5.04201680672269,0,"Q","generic"
"978","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",211,"harvest",21,"230",21,5.04201680672269,1,"Q","generic"
"979","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,5.04201680672269,0,"S","generic"
"980","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,5.04201680672269,0,"Q","generic"
"981","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,5.04201680672269,0,"S","generic"
"982","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,5.04201680672269,0,"Q","generic"
"983","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,5.04201680672269,0,"S","generic"
"984","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,5.04201680672269,0,"S","generic"
"985","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,5.04201680672269,0,"S","generic"
"986","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,5.04201680672269,0,"S","generic"
"987","2740.2010-08-14.1017","Bluegill","Merritt","Aug","2010","2","1",210,"harvest",21,"230",21,5.04201680672269,1,"Q","generic"
"1021","2740.2010-08-14.1027","Bluegill","Merritt","Aug","2010","1","1",150,"release",15,"150",15,1,0,"Q","generic"
"1022","2740.2010-08-14.1027","Bluegill","Merritt","Aug","2010","1","1",150,"release",15,"150",15,1,0,"Q","generic"
"1036","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.29166666666667,0,"Q","generic"
"1037","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.29166666666667,0,"Q","generic"
"1038","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.29166666666667,0,"S","generic"
"1039","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.29166666666667,0,"Q","generic"
"1040","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.29166666666667,0,"Q","generic"
"1041","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.29166666666667,0,"S","generic"
"1042","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.29166666666667,0,"S","generic"
"1043","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",200,"harvest",20,"200",20,2.29166666666667,1,"Q","generic"
"1044","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.29166666666667,0,"Q","generic"
"1045","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.29166666666667,0,"Q","generic"
"1046","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",200,"harvest",20,"200",20,2.29166666666667,1,"Q","generic"
"1047","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.29166666666667,0,"S","generic"
"1048","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.29166666666667,0,"Q","generic"
"1049","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.29166666666667,0,"Q","generic"
"1050","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.29166666666667,0,"Q","generic"
"1051","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.29166666666667,0,"S","generic"
"1052","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.29166666666667,0,"S","generic"
"1053","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.29166666666667,0,"S","generic"
"1054","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.29166666666667,0,"S","generic"
"1055","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.29166666666667,0,"S","generic"
"1056","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2.29166666666667,0,"S","generic"
"1057","2740.2010-08-16.1011","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2.29166666666667,0,"Q","generic"
"1064","2740.2010-08-16.1014","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,2,0,"S","generic"
"1065","2740.2010-08-16.1014","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2,0,"S","generic"
"1066","2740.2010-08-16.1014","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2,0,"Q","generic"
"1067","2740.2010-08-16.1014","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,2,0,"S","generic"
"1068","2740.2010-08-16.1014","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,2,0,"S","generic"
"1069","2740.2010-08-16.1014","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2,0,"Q","generic"
"1070","2740.2010-08-16.1014","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2,0,"Q","generic"
"1071","2740.2010-08-16.1014","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2,0,"Q","generic"
"1072","2740.2010-08-16.1014","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2,0,"Q","generic"
"1073","2740.2010-08-16.1014","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,2,0,"Q","generic"
"1096","2740.2010-08-18.1002","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.185185185185185,0,"Q","generic"
"1097","2740.2010-08-18.1002","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.185185185185185,0,"S","generic"
"1098","2740.2010-08-18.1002","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.185185185185185,0,"S","generic"
"1101","2740.2010-08-18.1003","Bluegill","Merritt","Aug","2010","2","1",176,"harvest",18,"200",18,0.152671755725191,1,"Q","generic"
"1102","2740.2010-08-18.1003","Bluegill","Merritt","Aug","2010","2","1",161,"harvest",16,"175",16,0.152671755725191,1,"Q","generic"
"1314","2740.2010-08-20.990","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,0.202702702702703,0,"Q","generic"
"1315","2740.2010-08-20.990","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,0.202702702702703,0,"Q","generic"
"1321","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,1.03125,0,"S","generic"
"1322","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",176,"harvest",18,"200",18,1.03125,1,"Q","generic"
"1323","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",184,"harvest",18,"200",18,1.03125,1,"Q","generic"
"1324","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",187,"harvest",19,"200",19,1.03125,1,"Q","generic"
"1325","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.03125,0,"Q","generic"
"1326","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,1.03125,0,"S","generic"
"1327","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,1.03125,0,"S","generic"
"1328","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",185,"harvest",18,"200",18,1.03125,1,"Q","generic"
"1329","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",223,"harvest",22,"230",22,1.03125,1,"Q","generic"
"1330","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",190,"harvest",19,"200",19,1.03125,1,"Q","generic"
"1331","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.03125,0,"Q","generic"
"1332","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.03125,0,"Q","generic"
"1333","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.03125,0,"Q","generic"
"1334","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",179,"harvest",18,"200",18,1.03125,1,"Q","generic"
"1335","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.03125,0,"Q","generic"
"1336","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,1.03125,0,"S","generic"
"1337","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,1.03125,0,"S","generic"
"1338","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",181,"harvest",18,"200",18,1.03125,1,"Q","generic"
"1339","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",172,"harvest",17,"175",17,1.03125,1,"Q","generic"
"1340","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",80,"release",8,"<125",8,1.03125,0,"S","generic"
"1341","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.03125,0,"Q","generic"
"1342","2740.2010-08-20.991","Bluegill","Merritt","Aug","2010","2","1",185,"harvest",18,"200",18,1.03125,1,"Q","generic"
"1369","2740.2010-08-22.971","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.555555555555556,0,"Q","generic"
"1370","2740.2010-08-22.971","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.555555555555556,0,"S","generic"
"1371","2740.2010-08-22.971","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.555555555555556,0,"Q","generic"
"1372","2740.2010-08-22.971","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.555555555555556,0,"S","generic"
"1373","2740.2010-08-22.971","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,0.555555555555556,0,"Q","generic"
"1377","2740.2010-08-26.966","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,0.974025974025974,0,"Q","generic"
"1378","2740.2010-08-26.966","Bluegill","Merritt","Aug","2010","2","1",200,"release",20,"200",20,0.974025974025974,0,"Q","generic"
"1379","2740.2010-08-26.966","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,0.974025974025974,0,"Q","generic"
"1380","2740.2010-08-26.966","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.974025974025974,0,"Q","generic"
"1381","2740.2010-08-26.966","Bluegill","Merritt","Aug","2010","2","1",200,"release",20,"200",20,0.974025974025974,0,"Q","generic"
"1382","2740.2010-08-26.966","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,0.974025974025974,0,"Q","generic"
"1383","2740.2010-08-26.966","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.974025974025974,0,"Q","generic"
"1384","2740.2010-08-26.966","Bluegill","Merritt","Aug","2010","2","1",200,"release",20,"200",20,0.974025974025974,0,"Q","generic"
"1385","2740.2010-08-26.966","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.974025974025974,0,"Q","generic"
"1386","2740.2010-08-26.966","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.974025974025974,0,"S","generic"
"1397","2740.2010-08-29.949","Bluegill","Merritt","Aug","2010","2","1",190,"harvest",19,"200",19,0.526315789473684,1,"Q","generic"
"1398","2740.2010-08-29.949","Bluegill","Merritt","Aug","2010","2","1",175,"harvest",18,"175",18,0.526315789473684,1,"Q","generic"
"1399","2740.2010-08-29.949","Bluegill","Merritt","Aug","2010","2","1",212,"harvest",21,"230",21,0.526315789473684,1,"Q","generic"
"1400","2740.2010-08-29.949","Bluegill","Merritt","Aug","2010","2","1",204,"harvest",20,"230",20,0.526315789473684,1,"Q","generic"
"1401","2740.2010-08-29.949","Bluegill","Merritt","Aug","2010","2","1",195,"harvest",20,"200",20,0.526315789473684,1,"Q","generic"
"1402","2740.2010-08-29.949","Bluegill","Merritt","Aug","2010","2","1",194,"harvest",19,"200",19,0.526315789473684,1,"Q","generic"
"1403","2740.2010-08-29.949","Bluegill","Merritt","Aug","2010","2","1",186,"harvest",19,"200",19,0.526315789473684,1,"Q","generic"
"1404","2740.2010-08-29.949","Bluegill","Merritt","Aug","2010","2","1",179,"harvest",18,"200",18,0.526315789473684,1,"Q","generic"
"1405","2740.2010-08-29.949","Bluegill","Merritt","Aug","2010","2","1",194,"harvest",19,"200",19,0.526315789473684,1,"Q","generic"
"1421","2740.2010-09-01.1122","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.422535211267606,0,"Q","generic"
"1429","2740.2010-09-02.1119","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.138728323699422,0,"Q","generic"
"1430","2740.2010-09-02.1119","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.138728323699422,0,"Q","generic"
"1431","2740.2010-09-02.1119","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.138728323699422,0,"Q","generic"
"1432","2740.2010-09-02.1119","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.138728323699422,0,"Q","generic"
"1443","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.02015113350126,0,"S","generic"
"1444","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,1.02015113350126,0,"Q","generic"
"1445","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,1.02015113350126,1,"Q","generic"
"1446","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,1.02015113350126,1,"Q","generic"
"1447","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.02015113350126,0,"S","generic"
"1448","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.02015113350126,0,"S","generic"
"1449","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.02015113350126,0,"S","generic"
"1450","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,1.02015113350126,0,"Q","generic"
"1451","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,1.02015113350126,0,"Q","generic"
"1452","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,1.02015113350126,0,"Q","generic"
"1453","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.02015113350126,0,"S","generic"
"1454","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,1.02015113350126,0,"Q","generic"
"1455","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.02015113350126,0,"S","generic"
"1456","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.02015113350126,0,"S","generic"
"1457","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.02015113350126,0,"S","generic"
"1458","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,1.02015113350126,0,"Q","generic"
"1459","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.02015113350126,0,"S","generic"
"1460","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.02015113350126,0,"S","generic"
"1461","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.02015113350126,0,"S","generic"
"1462","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,1.02015113350126,0,"Q","generic"
"1463","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,1.02015113350126,0,"Q","generic"
"1464","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.02015113350126,0,"S","generic"
"1465","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.02015113350126,0,"S","generic"
"1466","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.02015113350126,0,"S","generic"
"1467","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,1.02015113350126,1,"Q","generic"
"1468","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.02015113350126,0,"S","generic"
"1469","2740.2010-09-08.1111","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.02015113350126,0,"S","generic"
"1525","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.724346076458752,0,"S","generic"
"1526","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.724346076458752,0,"S","generic"
"1527","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.724346076458752,0,"S","generic"
"1528","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.724346076458752,0,"S","generic"
"1529","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.724346076458752,0,"S","generic"
"1530","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.724346076458752,0,"Q","generic"
"1531","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.724346076458752,0,"Q","generic"
"1532","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.724346076458752,0,"S","generic"
"1533","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.724346076458752,0,"S","generic"
"1534","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.724346076458752,0,"S","generic"
"1535","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.724346076458752,0,"S","generic"
"1536","2740.2010-09-10.1103","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.724346076458752,0,"S","generic"
"1537","2740.2010-09-10.1104","Bluegill","Merritt","Sep","2010","1","1",80,"release",8,"<125",8,4,0,"S","generic"
"1538","2740.2010-09-10.1104","Bluegill","Merritt","Sep","2010","1","1",80,"release",8,"<125",8,4,0,"S","generic"
"1539","2740.2010-09-10.1104","Bluegill","Merritt","Sep","2010","1","1",80,"release",8,"<125",8,4,0,"S","generic"
"1540","2740.2010-09-10.1104","Bluegill","Merritt","Sep","2010","1","1",80,"release",8,"<125",8,4,0,"S","generic"
"1543","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.22743682310469,0,"S","generic"
"1544","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",187,"harvest",19,"200",19,1.22743682310469,1,"Q","generic"
"1545","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.22743682310469,0,"S","generic"
"1546","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",185,"harvest",18,"200",18,1.22743682310469,1,"Q","generic"
"1547","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",194,"harvest",19,"200",19,1.22743682310469,1,"Q","generic"
"1548","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",192,"harvest",19,"200",19,1.22743682310469,1,"Q","generic"
"1549","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.22743682310469,0,"S","generic"
"1550","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.22743682310469,0,"S","generic"
"1551","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",200,"harvest",20,"200",20,1.22743682310469,1,"Q","generic"
"1552","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.22743682310469,0,"S","generic"
"1553","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",192,"harvest",19,"200",19,1.22743682310469,1,"Q","generic"
"1554","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.22743682310469,0,"S","generic"
"1555","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",168,"harvest",17,"175",17,1.22743682310469,1,"Q","generic"
"1556","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.22743682310469,0,"S","generic"
"1557","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",196,"harvest",20,"200",20,1.22743682310469,1,"Q","generic"
"1558","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.22743682310469,0,"S","generic"
"1559","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",171,"harvest",17,"175",17,1.22743682310469,1,"Q","generic"
"1560","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.22743682310469,0,"S","generic"
"1561","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",185,"harvest",18,"200",18,1.22743682310469,1,"Q","generic"
"1562","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.22743682310469,0,"S","generic"
"1563","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",172,"harvest",17,"175",17,1.22743682310469,1,"Q","generic"
